a,sig2,range,nu,mu
0.380882084042972,0.5348043914476739,5.998055850746482,1.5,2.653109908763907
0.38064962301835303,0.8565261692361363,10.405446533986058,1.5,2.653109908763907
0.37950159984221477,1.272259636539394,7.224674055842082,1.5,2.653109908763907
0.3822319893804522,0.2653707076450611,4.199906663527384,1.5,2.653109908763907
0.3808841071793575,0.2911047460738432,4.529410945431316,1.5,2.653109908763907
0.38225275346882487,0.2851427328655381,4.994998210679619,1.5,2.653109908763907
0.3806073948575633,1.6674438220944425,9.390179205310059,1.5,2.653109908763907
0.37970637365865517,0.9000116058262071,6.862039279126941,1.5,2.653109908763907
0.3810398806133596,0.27409767318128453,5.340844252628749,1.5,2.653109908763907
0.3717813350691714,2.7000696354062277,14.06283946782702,1.5,2.653109908763907
0.38182451718856325,0.2532744792945204,6.106031864779075,1.5,2.653109908763907
0.38182451718856325,0.2532744792945204,6.106031864779075,1.5,2.653109908763907
0.3823334890491422,0.2532744792945204,6.106031864779075,1.5,2.653109908763907
0.38287523156279407,0.2561494451036778,13.33864022609864,1.5,2.653109908763907
0.3747267542448102,0.8347726049266052,3.4891964925987806,1.5,2.653109908763907
