a,sig2,range,nu,beta0,beta1
0.38089685253370814,0.18559848391534045,4.76113457949473,2.5,5.7383447110133865,-0.10044109693800587
0.37311259917324574,0.1931994997962778,4.994304939640168,2.5,5.750736646576311,-0.1008821436130419
0.368228407154564,0.19007517603166238,5.2995135908067565,2.5,5.868957036225489,-0.10498244509335163
0.4372757851459744,0.33043640351211195,4.970044405694013,2.5,6.362830112334948,-0.11737104644549863
0.4262323458192345,0.3387912680480062,5.184619331044608,2.5,6.3858072853785,-0.11770554006050143
0.3517906195120921,0.19249575274483346,5.16665934086203,2.5,5.808756689984949,-0.1023707241369732
0.3806999714063759,0.18828625285532266,4.3450570296400635,2.5,5.755783763710223,-0.09894625575197118
0.42274077294914364,0.17269242591080577,4.717767516996935,2.5,6.209727109870423,-0.11274993151279619
0.3961592942275611,0.3024896086434668,6.30514568422382,2.5,6.365265110850439,-0.11440749813364709
0.404718008129113,0.3024896086434668,6.30514568422382,2.5,6.393173122206424,-0.11507849909809716
